,id,nct_id,outcome_type,measure,time_frame,population,description
889,273696512,NCT02676076,other,Adverse Events and Adverse Drug reactions,Up to Week 52,,
890,272126349,NCT03504995,primary,Complications,1 year,,Short and long term surgical complications
891,273540208,NCT04625426,secondary,Number of Participants Who Developed Skin Loss,Up to three days from initiation of treatment,,"Examination of the development of skin loss using the Ghent Global IAD Categorisation tool (GLOBIAD).

Binary scoring, 1 and 2. Higher value (2) indicates worse outcome (Development of skin loss)"
892,272846091,NCT05830344,secondary,Patient satisfaction,4 weeks (end of treatment) and one-week after the conclusion of the treatment.,,Patient satisfaction will be measured by 1-item Likert Scale. The scale uses the following responses: very satisfied = 5; somewhat satisfied = 4; neither satisfied nor dissatisfied = 3; somewhat dissatisfied n=2; very dissatisfied =1. Highest scores indicates better satisfaction.
893,274205597,NCT00303186,primary,Mean Cost Per Participant Per Month at Month 12,Month 12,,"Overall cost per participant per month was evaluated as part of health economics evaluation to quantify burden of Refractory PsA and its treatment, resources absorbed by the disease and its care into monetary terms. Overall cost was defined as sum of direct and indirect costs (productivity losses). Direct costs included cost of following cost variables: pharmacological treatment; hospitalizations; diagnostic examinations, laboratory analysis and specialist visits; transports."
894,272002782,NCT04547686,primary,Number of participants who achieved smoking cessation/abstinence,12 months,,Cotinine-validated 7-day point-prevalence abstinence at 12 months
895,271779898,NCT05885009,secondary,Description Overall Survival (OS) among the included patients,Ongoing basis during 5 years of study duration,,Describe OS from the moment of registration to the death of the patient.
896,272157921,NCT03348397,primary,Comparison of mid term course between pediatric right ventricular outflow tract recontruction with homograft and contegra,up to 195 months post right ventricular outflow tract recontruction,,
897,273301177,NCT00126282,secondary,significant reduction of depressive symptoms after the completion of treatment,,,
898,271778180,NCT04631848,primary,Number of patients with patency of target lesion,12 months,,Patency is defined as freedom from occluded target lesions (flow) verified by duplex ultrasound without re-intervention
899,273669239,NCT04248946,secondary,EMG (electromyography) amplitude changes,days 1-4 and day 2 of each polarity in the MRI and bedside streams respectively,,Changes in the amplitude of the rectified EMG signal (high-pass filtered > 50Hz) in response to instructions to move
900,272949701,NCT01032330,secondary,Near Stereoacuity - 3 Years,between baseline and 3 years,,"Stereoacuity scores (seconds of arc) were calculated based on the Randot Preschool stereoacuity test (scores: 800, 400, 200, 100, 60 and 40). Seconds of arc refers to the visual angle that is being measured in order to determine depth perception. Lower scores indicate better stereoacuity.

A logarithm base 10 transformation was used to convert stereoacuity scores to the log scale to calculate descriptive statistics (reported as log of seconds of arc, or log arcsec). The stereoacuity at near is reported at 3 years, as is the change in near stereoacuity from baseline to 3 years. Both were reported as log of seconds of arc, or log arcsec. For change in stereo, positive change indicates improvement in stereo."
901,272238473,NCT02410525,secondary,"Plasma PK of PF-06427878: Tmax, as data permit.","Periods 2 & 3;Day 1;prebreakfast,-90,-60,0,120min",,
902,274104442,NCT05917730,primary,Emotional dysegulation,3-month follow-up,,"Scale of difficulties in emotional regulation (DERS) (Gratz and Roemer, 2004) in Spanish. These items are grouped into six subscales: non-acceptance, goals, impulsivity, strategies, awareness, and clarity."
903,271502385,NCT06216886,secondary,Change In Acute Medication Use,compare data from week -1(7 days prior to starting study) and week 4(7 days during the 4th week after treatment),,Number of doses of any acute medication use over a 7 day period
904,273650234,NCT01023789,secondary,Number of Participants With Ischemia Driven Target Vessel Revascularization (ID-TVR),0 to 180 days,,"Revascularization in the target vessel associated with any of the following:

Positive functional ischemia study.
Ischemic symptoms and an angiographic minimal lumen diameter stenosis ≥ 50% by core laboratory quantitative coronary angiography (QCA).
Revascularization of a target vessel with diameter stenosis ≥ 70% by core laboratory QCA without either ischemic symptoms or a positive functional study."
905,272698454,NCT05734911,primary,progression-free survival(PFS),up to 29 months,,time from the date of initiation of maintenance therapy with niraparib to the date of disease progression in our study
906,274151623,NCT05896748,secondary,Number of Participants With Treatment emergent Genotypic Resistance Following Administration of SC injection,Up to Week 12,,
907,271514885,NCT03531970,secondary,initial pain,Baseline,,"rating the pain on Heft-Parker visual analog scale. This scale is a 170-mm horizontal line, divided into 4 categories. No pain corresponded to 0 mm; mild pain was defined as >0 mm and 54 mm. Mild pain category included faint, weak and mild pain. A score >54 mm and <114 mm indicated moderate pain and included the descriptor of moderate pain. A score >54 mm and <114 mm indicated moderate pain and included the descriptor of moderate pain. Severe pain was defined as ≥114 mm. Severe pain was defined as strong, intense and maximum possible."
908,273903747,NCT04729959,secondary,Incidence of adverse events (Surgical Cohort and Non-Surgical Cohort),Up to 2 years,,"Will be graded according to Common Terminology Criteria for Adverse Events version 5.0. Comprehensive summaries of all adverse events by treatment arm will be generated and examined. Counts and frequencies of worst (highest score) adverse event per patient will be presented overall and by adverse event type category, separately by assigned treatment group. The proportion of patients with at least one grade 3 or higher adverse event will be compared between treatment arm. Similarly, frequencies for specific potentially treatment related adverse events where grade 3 or higher events are noted may be compared. Any frequencies to be tested will be evaluated using the chi-square or exact test as appropriate, with two-sided significance level 0.05."
909,272633810,NCT03373877,secondary,Symptom Burden Assessment,12 months,,The symptomatic burden will be serially evaluated using the MPN-SAF TSS.
910,273992370,NCT02559765,secondary,Number of participants who are able to access MS specialist services as their needs change. Questionnaire,three months,,Participant may choose from the following options and choose one: yes; no.
911,272569969,NCT05616676,secondary,Intrusive memory ratings,"Baseline, 4 weeks, 12 weeks and 24 weeks (all arms)",,The 9-item questionnaire assesses a number of intrusive memories characteristics. These characteristics include frequency (7-point categorical response from 'never' to 'many times a day'); distress (0=not at all to 10=extremely); disruption to concentration (0=not at all to 10=extremely); interference with what you were doing (how much (0=not at all to 10=extremely) and for how long (6-point categorical response from '<1min' to '>60mins')); impact on work functioning (how much (0=not at all to 10=extremely) and in what ways (open text response)); impact on functioning in other areas of life (how much (0=not at all to 10=extremely) and in what ways (open text response)).
912,271481733,NCT00133991,secondary,Relapse Pattern,Up to 6 months,,Percentage of participants experiencing central nervous system (CNS) and systemic relapse.
913,272367603,NCT03835676,secondary,Correlate changes in RV structure and function with prespecified biomarkers,"through study completion, an average of 5 years",,"correlate changes in RV structure and function with the Pre-specified biomarkers (NT-ProBNP, Tissue growth factor-B BNP, and Profibrotic markers)"
914,271417997,NCT04079114,secondary,Evaluation of Pain and Functional Performance Determined by the Harris Hip Score,"3 years postoperatively, due to early study termination",,"The Harris Hip Score is a questionnaire filled by the surgeon on the patients who received a hip implant. The domains covered are pain, function, absence of deformity, and range of motion. The pain domain measures pain severity and its effect on activities and need for pain medication.

The function domain consists of daily activities (stairs, public transportation, sitting, and managing shoes and socks) and gait (limp, support needed for walking, and walking distance). Deformity takes into account hip flexion, adduction, internal rotation, and extremity length discrepancy. Range of motion measures hip flexion, abduction, external and internal rotation, and adduction.

There are 10 items. The score has a minimum of 0 (worst possible score) to a maximum of 100 points (best possible outcome) covering pain (1 item, 0-44 points), function (7 items, 0-47 points), absence of deformity (1 item, 4 points), and range of motion (2 items, 5 points)."
915,272613641,NCT04033809,secondary,Mean corpuscular hemoglobin (MCH),Baseline and 12 weeks,,Mean corpuscular hemoglobin (MCH) is measured in g/cell
916,273151450,NCT01783106,secondary,• Fall in Faecal Calprotectin,"4 weeks, 10 weeks, 24 weeks, 52 weeks",,efficacy
917,272333658,NCT02367885,primary,Percentage of Participants With Seroprotection in HI Antibody Titer (Egg-Derived Antigen) of >=40: 21 Days After the Second Vaccination for 6-35 Months Old Group and 3-12 Years Old Group,Day 43 (21 days after Vaccination 2),,"Seroprotection rate was measured by HI antibody titer (egg-derived antigen) for each of the three strains (A/H1N1 strain, A/H3N2 strain, B strain), 21 days after second vaccination for two age groups: 6-35 months and 3-12 years. Seroprotection rate was defined as the percentage of participants with HI antibody titer of >=40."
918,271391583,NCT05664841,primary,Children's HandExperience Questionnaire (CHEQ),baseline,,"The CHEQ 2.0 evaluates the extent of participants in using their affected hand. Participants are asked to indicate how they normally perform 27 daily activities where two hands are usually required, i.e. did they typically use one hand, use two hands, or with help. Participants respond verbally to each of the 27 activity statements. The number of activities in which the participant used two hands is the outcome."
919,273610937,NCT00606619,secondary,"Quality of life: EORTC QLQ30, STO22","1,2 and 3 month after operation",,
920,273412938,NCT04785352,secondary,Child Dietary Intake,Baseline and months 6 and 12,,"24-hour recalls and food frequency recalls are used to assess nutrient intakes, dietary diversity, and consumption of Animal-Source Foods (ASFs)."
921,273302031,NCT01054300,primary,Time Taken to Reach the Maximum Observed Plasma Concentration (Tmax) of Ertugliflozin,"0 predose, 0.5, 1, 2, 3, 4, 5, 5.5, 6, 7, 8, 10, 12, 18, 24 hours postdose",,PK parameter of Tmax for study drug. Actual sample collection times (relative to the AM dose) were used for the pharmacokinetic analysis.
922,272292385,NCT04915547,primary,Understanding possible contamination between the groups,8 weeks from randomization,,"Measures to assess:

Have you talked to other participants in this study about the intervention they are receiving? Has your attitude towards the intervention changed after talking to the participant (s) in the other group? Are any of the participants in the other group aware of the type of intervention you are receiving in this study?

The frequencies of the participants who responded affirmatively to each question will be computed separately for each treatment condition."
923,274189036,NCT00523991,secondary,Change From Baseline in Peak Forced Vital Capacity (at Week 8),"baseline, week 8",,"Peak FEV1 defined as the maximum of the observed values over 30, 60, 120, and 180 minutes post-dose for FEV1. Peak response was defined as the change from baseline to the peak FEV1 value at the final visit."
924,271377775,NCT03991988,primary,Number of patients with seizures,1 year,,Number of participants that reported seizures during follow up time
925,274197522,NCT06252142,secondary,Loco-regional control,3 Years,,"Responce is assessed by comparing the presence or absence of disease between the baseline and response evaluation scan/scopy. Response evaluation will be done by clinical, radiological and endoscopic assessment and disease will be restaged with TNM."
926,273567694,NCT04721067,primary,Change in hsCRP levels at 24 weeks,Baseline and 24 weeks,,Circulating high sensitivity C-reactive protein levels will be measured
927,272497336,NCT03315468,secondary,Percentage of Participants With Mutation Status,Day 1,,"Presence or absence of mutations in the BRAF, NRAS and ckit oncogenes were determined thanks to each's centres practices. This information is collected from medical records of each patient.The classifications for each gene were Yes (mutated), No (non-mutated = wild type) and Unknown (no research)."
928,272291838,NCT03887143,primary,Acute management of stroke:,1 day,,Median time from symptom onset to Imaging (minutes)
929,273673770,NCT04144621,secondary,Fertilization rate,16-19 hours of ICSI,,Percentage of fertilized oocyte (appearance of two pronuclei) / Number of injected oocytes
930,272650074,NCT04120571,secondary,Blood glucose (OGTT),2 hours post bolus ingestion of glucose,,Oral glucose tolerance test (mmol/l)
931,273782024,NCT02865902,secondary,Palatal Tissue Thickness,at baseline and at the 1st month,,The tissue thickness alterations (mm.) that was measured by a endodontic reamer and digital caliper was the secondary outcome
932,271328740,NCT04613206,secondary,Geometric Mean Titers Ratio of influenza vaccine antibodies (post-/pre-vaccination).,Day 56 (post-vaccination),,Antibody titers will be measured by hemagglutination inhibition assay.
933,273822472,NCT05978882,secondary,5 year recurrence free survival rate,5 years,,"A total of enrollment period is suspected to be three years and patients will be followed up for five years. Therefore, we can complete data collection at five year later from when the last enrolled patients underwent intervention"
934,272332276,NCT05484869,primary,"Placenta previa ratio in pregnancies of pregnant women under the age of 16 ( group 1), over the age of 45 (group 2) and between the age of 25-35 (group 3).",1 month,,Rate and % of placenta previa will be compared between the three groups
935,273953826,NCT02618135,other,Pediatric Adverse Event Rating Scale (PAERS),Week 8,,
936,272363283,NCT05649020,secondary,To analyze the hemodynamic response during surgery,From the baseline previous to prilocaine adminstration until the end of the prostate biopsy. 30 minutes,,"To evaluate the incidence of hypertension, hypotension, bradycardia or tachycardia during the prostate biopsy procedure."
937,272985709,NCT03020550,other,Post GERD Symptom Severity,2 weeks (baseline and 2 week follow-up),,"GERD symptom severity at follow-up was assessed by self-report on a 7-day symptom diary (symptoms collected days 8-14 after the study visit). Possible daily scores ranged from 0-12 with higher scores indicating more severe symptoms (sum of daytime heartburn, nighttime heartburn, and acid regurgitation symptoms each rated 0-4 in severity [none, mild, moderate, severe, very severe]). Daily scores across the 7 days were averaged to create the Post GERD symptom severity score. Adapted from: Miner P, et. al. Am J Gastroenterol. 2002. PMID: 12094846."
938,271928194,NCT00968201,secondary,Number of Patients Who Were Discontinued Due to Drug-related CAEs - Extension,up to 2.8 years,,Patients who were discontinued due to drug-related CAEs with up to 2.8 years of treatment
939,273026671,NCT05515263,secondary,Seroprotection for B/Austria/1359417/2021 (B/Victoria lineage)-like virus strain (strain 3),Week 8,,The proportion of participants achieving seroprotection (HAI titre of ≥1:40) for B/Austria/1359417/2021 (B/Victoria lineage)-like virus strain.
940,272226423,NCT05487729,secondary,OSWESTRY DISABILITY INDEX,3 minutes,,The Oswestry Disability Index (also known as the Oswestry Low Back Pain Disability Questionnaire) is an extremely important tool that researchers and disability evaluators use to measure a patient's permanent functional disability. The test is considered the 'gold standard' of low back functional outcome tools.
941,271424852,NCT03692026,secondary,post-operative pain,six months,,"post-operative pain will be assessed using Numerical Scale of Pain (NRS). Patient describes post-operative pain on a scale from 1-10;where 1 represents the lowest value or minimum pain or no pain, while 10 represents highest value which is severe pain."
942,272884416,NCT03118843,secondary,Percentage of Participants With HCV RNA < LLOQ On Treatment,"Weeks 2, 4, 8, and 12",,
943,272727068,NCT03298048,primary,Safety as Assessed by Number of Participants With Constipation,180 days,,
944,271496393,NCT01574144,secondary,Change in Body Weight Per Unit Change in Thoracic Impedance,Discharge to 30 days post discharge,,Change in body weight per unit change in thoracic impedance. The regression coefficients between body weight and thoracic impedance.
945,273501621,NCT06016192,other,Change in minute ventilation (VE),Baseline and week 4 (i. e. before discharge),,Minute ventilation will be determined by spiroergometry measuring breath-by-breath volumes (ml)
946,272513328,NCT06108089,primary,The correlation of hypoxia volume between hypoxia MR and F18-FMISO PET,1 year,,the correlation of the percentages of hypoxia volume on hypoxia MR and F18-FMISO PET as the standard references
947,271820910,NCT04937608,primary,Changes in sperm parameters quality,"Pre-infection, on the day of recruitment and six month later",,"Sperm concentration and motility will be assessed using computer-assisted sperm analysis (CASA). Sperm vitality and morphology will be evaluated using eosine-nigrosine and Romanowsky staining techniques, respectively. DNA fragmentation and sperm chromatin decondensation will be measured using the Terminal deoxynucleotidyl transferase dUTP nick end labeling (TUNEL) and aniline blue assays, respectively. These sperm parameters will be compared before and after SARS-CoV-2 infection and between the different time frames."
948,272406568,NCT04232228,primary,Crohn's Disease Related Secondary HRU in the 12 Months Post-Activation of C4T IBD Application (post-index),Up to 12 months post index of C4T IBD application,,The number of gastroenterology HCP contacts per participant in the 12 months post-index will be reported. The 12 months post-index period will be split into two time periods: 0-6 months post-index and 6-12 months post-index. The 0-6 and 6-12 month post-index periods will be described separately.
949,272526748,NCT06042751,secondary,Disability,"The questionnaire will be completed at baseline, after the intervention (after 3 months), and after another 3-month observation period (after 6 months).",,"The Bell Disability Scale includes eleven statements about the level of physical function. The scale is rated in increments of 10, from 0 (very severe, constantly bedridden) to 100 (healthy)."
950,271535297,NCT03696550,primary,"Assess the Pharmacokinetics (PK) parameters for Cmax, maximum observed plasma concentration",Screening (-2 to 1) to Day 7,,"Cmax, maximum observed plasma concentration"
951,272595703,NCT05241535,secondary,Plasma concentration versus time profile of MT-7117 after dosing.,"Pre-dose, 15 minutes post dose, 30 minutes post dose, 1 hour post dose, 2 hours post dose, 3, 4, 5, 6, 8, 10, 12, and 24 hours post-dose",,
952,273330825,NCT05859672,primary,Intrathoracic Pressure,Intra-operative,,Measure the intrathoracic pressure changes monitored with an esophageal pressure balloon catheter associated with intraoperative changes in mechanical ventilation parameters such as tidal volume and PEEP
953,271641265,NCT00700180,secondary,Percentage of Participants With Objective Response,"Baseline, Day 21 of Cycles 2, 4, and 6, Day 21 of Cycles 7, 8, 9, and 10, Day 21 of every other cycle, and at disease progression",,"Percentage of participants with CR or PR according to RECIST criteria. Per RECIST v1.0: CR defined as disappearance of all target lesions, non-target lesions, and normalization of tumor marker level. PR was defined as ≥30% decrease under baseline of the sum of the LD of all target lesions. No unequivocal progression of non-target disease. No new lesions. Complete and partial responses were confirmed no less than 4 weeks after the criteria for response were first met."
954,273456200,NCT04207411,secondary,Brief Pain Inventory,"The questionnaire will be completed at day-7, and month 2 for all patients and then ""month 3 and month 6"" for patient of experimental group or visit month 4, month 5, month 8 for control group.",,"This self-questionnaire will assess the pain intensity and impact of pain on the patient's life. He understands : a body image ; the maximum pain, the weakest pain, the usual pain of the last 15 days (numerical scale 0 to 10); the description of the current analgesic treatment; a assessment of relief by a percentage scale (0 to 100%); the study of the impact of pain on mood, relationships with other people, walking, sleep, work, joy of life, leisure, activities in general (scales numeric, rating from 0 (normal) to 10 (activity impossible)."
955,273493968,NCT03653000,primary,"Evaluation of motor block for the ulnar nerve at 10 minutes post injection assessed by a scale of motor function (0 = Complete paresis, 1 = Partial paresis, 2 = Normal motion)",10 minutes post injection,,Evaluation of motor block for the ulnar nerve
956,272505758,NCT04981782,primary,passive cervical range of motion (pCROM),nine months,,The ability of passive movement of the cervical spine will be assessed
957,274167079,NCT04052958,secondary,"Impact on the quality of life and muscular performance in DM1 patients after recurrent respiratory muscle training compared to patients without training, measured by the questionnaire Respicheck.",nine months,,"Impact on the quality of life and muscular performance in DM1 patients after recurrent respiratory muscle training will be measured by the result of the RESPICHECK, a questionnaire on clinical symptoms of respiratory insufficiency."
958,273436770,NCT05649033,primary,Work-related stress,Day 0,,"Work-related stress evaluated using Perceived Stress Scale (PPS10). PPS10 includes 10 items evaluating the degree to which an individual has perceived life as unpredictable, uncontrollable and overloading over the previous month. Each item is coded from 1 to 4 points: never, almost never, sometimes, fairly often and very often. The overall score ranges from 0 to 40 points."
959,273105413,NCT06016998,other,interincisor gap,1 day During the process of anesthesia assessment,,"Measure the distance between the upper and lower incisors .If the distance is less than three centimeters, it may indicate difficulty in airway management."
960,273684542,NCT02746042,secondary,Inflammatory Parameter IL-1beta (nasal secretions: substudy),16 weeks,,"Absolute concentrations and total amount per sample of interleukin-1β (IL-1beta) in nasal secretions collected at V2, V5, and V7 for a subset of approximately 60 patients in selected investigational sites in Germany"
961,273367290,NCT00206037,secondary,Immuno reaction on equine proteins,,,
962,272963518,NCT05942326,primary,Retention rates,Post-intervention at week 17,,"1-Attrition rates, % with complete post-intervention data collection"
963,273301521,NCT00092846,secondary,Percentage of patients who make appropriate decision to discontinue therapy or consult with a physician; the incidence of adverse experiences.,,,
964,273647576,NCT02714491,secondary,change in Glasgow Coma Scale score,0 and 35 days,,
965,272419796,NCT06017063,secondary,TOLERABILITY of psychooncological intervention,"9 months, last visit after completed 6 cycle of adjuvant Temozolomide (each cycle is 28 days)",,Patient- and caregiver-reported acceptance of intervention as measured by number of patient and cargiver dyads who completed the 6th session of the psychooncological intervention
966,272897599,NCT02087904,secondary,Change From Baseline in Global Total BML Score of the Index Knee MRI at Week 52,"Baseline, Week 52",,"BMLs in 15 regions were measured with MRI, and graded as 0 (normal), 1 (mild; < 25% of region), 2 (moderate; 25% - 50% of region), or 3 (severe; > 50% of region). The global total BML score was the sum of the 15 component scores, and ranged from 0 (normal) to 45 (severe)."
967,273209707,NCT02004418,primary,"Determine the toxicity profile of 11C-Choline administration in PET scans, therapeutic response and biochemical recurrence in patients treated with EBRT.",After 3 months,,
968,273719594,NCT02842437,primary,The Alveolar-Arterial Oxygen Difference,At 3 minutes after the skin is sutured,,Arterial blood samples were sampled at 3 minutes after the skin is sutured for the alveolar-arterial oxygen difference by using blood gas analyzer.
969,272107979,NCT00872885,secondary,Patient Global Impression of Change,24 hours,,
970,273233752,NCT00089167,secondary,Molecular minimal residual disease at 12 and 24 months,,,
971,274229815,NCT02526316,primary,Immune response against peptide P16_37-63,week 1,,A positive immune response is defined as positive DTH response against peptide P16_37-63 and/or a humoral (ELISA for the detection of p16-specific IgG/IgM/IgA) and/or CD4 cellular (IFN gamma ELISpot for the detection of p16INK4a-specific T cells) immune response exceeding the assay specific cut-off values for a positive response against peptide P16_37-63
972,272745542,NCT03878030,primary,Change in upper limb motor function,Two years,,Change from baseline to end of study in upper limb module score
973,272426667,NCT02934477,secondary,Compare leukemia-free survival,Five years post transplant,,"Compare leukemia-free survival at five years from DIPSS assessment date to the date of progression to AML or death from any cause, whichever comes first. Two co-secondary analyses will be conducted, one for all alloHCT patients versus Arm 2 and one for the subset of patients receiving MAC prior to alloHCT versus Arm 2. Observation is censored at the date of last follow-up for patients known to be alive without leukemia. Progression to AML is defined as >20% leukemia blasts in bone marrow or in the peripheral blood."
974,273669903,NCT01162421,secondary,"Percentage of Participants With EULAR Moderate Response at Months 3, 6, 9, 12, 18 and 24","Months 3, 6, 9, 12, 18, 24",,"A EULAR response reflects an improvement in disease activity and an attainment of a lower degree of disease activity based on the DAS28 score. The DAS28 score ranges from 0-10, with higher scores indicating more disease activity. A Moderate EULAR Response is defined as either: an improvement (decrease) in the DAS28 of > 0.6 and < 1.2 from Baseline and attainment of a DAS28 score of ≤ 5.1; or an improvement (decrease) in the DAS28 of ≥ 1.2 from Baseline and attainment of a DAS28 score of > 3.2."
975,273960629,NCT04024202,secondary,Characteristics of autoantibodies of DAT positive blood donors.,12-18 months,,"Documentation of characteristics of autoantibodies (e.g. isotype, subtype, titer, thermal amplitude) of DAT positive blood donors."
976,272544624,NCT02382198,secondary,Mean score in sialorrhea severity at end of treatment (day 90) measured by the sialorrhea scoring scale,90 days,,
977,272963353,NCT06082921,primary,Differences in Intake,25 days,,"Assess differences in intake using maternal consumption measured by food record, maternal satiety measured by survey, and maternal weight change measured at baseline and end of each condition; infant intake measured by weighed feeding"
978,271937964,NCT03663049,primary,Change in quality of life,Change in quality of life over 12 weeks,,"Change in quality of life will be measured by the Short Form Survey 20 (SF-20). The survey assesses quality of life via 20 questions across 6 domains: physical functioning (6 questions), role functioning (2 questions), social functioning (1 question), mental health (5 questions), health perceptions (5 questions), and pain (1 question). Scores across each of these domains are reported on a 0% to 100% scale, with 0% representing the worst possible score in that domain and 100% the best possible score."
979,272733648,NCT01017653,secondary,Relationship Between Epidermal Growth Factor Receptor (EGF-R) Mutational Analysis and Efficacy or Toxicity,16 months,,Number of participants with an abnormal fluorescence in situ hybridization (FISH) interpretation that 1) survived < 6 months and 2) experienced a ≥ grade 3 toxicity as graded per CTCAE v.3.0
980,273376332,NCT00232323,primary,reduction of stress parameters,,,
981,274013132,NCT05435833,primary,Onset of 1st analgesic request,up to 24 hours postoperative,,the time to first analgesic request will be recorded
982,272576407,NCT04197661,secondary,Bispectral index(BIS),-5 minutes before administration until 1 hours post administration on day 1,,Bispectral index
983,271420020,NCT02630368,primary,Phase II : Advanced Breast cancer: Assessment of the antitumor activity of avelumab in combination with IT JX-594 and metronomic cyclophosphamide Efficacy will be defined based on objective response under treatment following RECIST v1.1 criteria,Phase II : 6 months after the beginning of treatment,,Objective response is defined as complete or partial response as per RECIST v1.1
984,273263734,NCT02966418,secondary,The incidence of adverse events,During the intervention.,,
985,271917358,NCT00353457,secondary,Sphincter function,After surgery,,
986,273327517,NCT03704610,secondary,Mean variation in the severity assessment score measured by ePOST from 1st injection (W0 or W6) to 2 weeks after the 5th injection,week 16 for experimental arm ; week 22 for control arm,,"ePOST score will be assessed by the physician in charge of the patient. This score reflects the sarcoidosis activity in 17 organs and has been validated in previous studies : Skin, Peripheral lymph nodes, Eyes, Liver, Spleen, Central nervous system, Peripheral nervous system, Parotid/salivary glands, Bone marrow, Ear, Nose, Throat, Cardiac, Renal, Bone/joint, Muscle, Gastrointestinal. For each organ, a score will : 0 as Not affected, 1 as Slight, 2 as Mild, 3 as Moderate, 4 as Moderate to severe, 5 as Severe and 6 as Very severe. Total score is the sum of score in each organ."
987,272953089,NCT01163760,other,Comfort While Working on Computer,1-week-follow-up,,"Comfort throughout the day was evaluated via subjective question: ""Comfort while working on computer"" and is reported as an aggregate of ""Agree Strongly and Agree Somewhat""."
988,273434591,NCT00328367,secondary,Udvalg Fur Kliniske Undersogesler (UKU),one year,,
989,272218571,NCT05211297,primary,Index of behavioral problems,6-8 years,,
990,271515717,NCT03530956,primary,Oxygen consumption (VO2) during 6 minute walk test,"Through study completion, a period of 8 months",,VO2 during 6 minute walk test
991,273857646,NCT04089813,secondary,"VAS score at extubation time, 12 hours and 24 hours after operation","extubation time, 12 hours and 24 hours after operation",,A VAS score greater than or equal to 3 is defined as the presence of pain after surgery.
992,272635824,NCT04456400,secondary,Both cohorts: patient preference,5-10 days,,Evaluate patient preference for different tests using a patient survey
993,273559824,NCT01687647,secondary,Sensitivity for lung cancer detection compared with CT-scan,within 3 months,,"Ratio of sensitivity (RSN) for lung cancer detection in reference with CT scan.

Interest of the combination ""cytometry + CT-scan"" compared with CT-scan alone will also be evaluated."
994,273322868,NCT05679596,secondary,Changes in physical performance (numerical score) as determined by short physical performance battery (SPPB) in response to bed rest with and without ketone monoester (KET) supplementation.,Day -3 and Day 10.,,Measurements taken before and after bed rest
995,273418568,NCT00320502,primary,Change in CK-MB,,,
996,271735880,NCT05693688,secondary,Pneumothorax,Up to 3 months corrected age,,
997,271800744,NCT02038777,secondary,Overall Survival: Expansion Cohort,Approximately 7 years,,"Analysis is not final for this outcome measure at PCD, complete data will be posted at SCD."
998,271629111,NCT03462498,secondary,Non target lesion revascularization,60 months,,
999,272593553,NCT04383691,other,Change from baseline in the CGI-BP-S (depression) score at each assessment point,Baseline/ Week 1/ Week2/ Week3/ Week4/ Week5/ Week 6,,"Clinical Global Impression Bipolar Version, Severity of Illness (CGI-BP-S) score (depression) is a clinician-rated assessment of a subject's level of depression. The CGI depression score ranges from a minimum of 1 to a maximum of 7. For the CGI depression score, low scores indicate a better outcome and high scores indicate a worse outcome. When change from baseline is considered, a negative (decrease in score) value is considered a better outcome, and a positive (increase in score) value is considered a worse outcome."
1000,271812453,NCT04529824,secondary,CGM-derived Time in Range (TIR),10-days,,Estimated normal glucose time in range (TIR) (70-180 mg/dL)
1001,273741917,NCT05590065,secondary,6-Minute Walk Test (6 MWT),Up to 6 weeks,,"6 Minute Walk Test (6 MWT) measures the distance a person can walk in 6 minutes. There are different possibilities for performing this test. For this study, we will use a track of 50 meters, where patients walk back and forth."
1002,272235059,NCT05387603,secondary,Differences in resource utilization and treatment cost.,"Through study completion, an average of 18 months, assessed every 10 +/- 2 weeks by questionnaires.",,"Differences in resource utilization and treatment cost between the two treatment arms, in relation to the progressive free survival (PFS) and overall survival (OS)."
1003,273951416,NCT02625701,secondary,fluid balance,intra-operative and first 24hours after surgery,,"amount of fluids (ml) infused, amount of fluid losses

change in body weight"
1004,272280637,NCT05077813,secondary,Chicoric Acid status,one month,,Serum Chicoric Acid concentrations
1005,273563078,NCT06043570,secondary,clinical AF,"Arm 1: 6 month, 12 month, 18 month, 24 month, anytime using remote monitoring - Arm 2: 6 month, 12 month, 18 month, 24 month",,
1006,272342577,NCT02385799,secondary,Preschool Anxiety Scale-Revised - Total Score,At baseline visit,,"Preschool Anxiety Scale-Revised (PAS-R) is a questionnaire designed to assess symptoms of anxiety and fears in young children aged 6 and below as reported by their parents. The PAS-R consists of 34 questions, each with a rating option of 0 to 4 where 0=not true at all, 1=seldom true, 2=sometimes true, 3=quite often true, and 4=very often true. The total score is calculated as the sum of all responses and therefore ranges from 0 to 136. Lower scores indicate less anxiety/fear; higher scores indicate more anxiety/fear. Reported here are the mean total scores for the placebo and treatment groups at baseline."
1007,273108609,NCT05145907,primary,The rate of Adverse events,Through the study assessed up to 2 years,,The rate of Adverse events
1008,273253175,NCT03958799,primary,Number of participants reporting immediate adverse events (AEs),Within 30 minutes post-vaccination,,"AEs, including those related to the product administered"
1009,271363751,NCT04693390,secondary,Pain evaluated with the FLACC scale,30 minutes after the arrival in the post anesthesia care unit,,"Between groups difference in pain, evaluated using the FLACC scale administered by the health personnel. The FLACC tool assesses changes in five categories of behavior (namely: Face, legs, Activity, Crying and Consolability), rating each one on a scale of 0-2. Ten is the maximum score indicating severe pain and a score <2 generally indicates absence of pain. A FLACC score higher than 4 is considered as indicator of moderate pain."
